 COVID-19   is a   wikipedia article 
( lex_4d616368696e65   member of  < lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >) ⇐ {< lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 > ( lex_4d616368696e65   member of  < lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >)}
( lex_5761796261636b   member of  < lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >) ⇐ {< lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 > ( lex_5761796261636b   member of  < lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >)}
( lex_746f   member of  < lex_2b   lex_7c   lex_74616c6b   lex_5d   lex_5d   lex_29   lex_746f   lex_6c617374   lex_76657273696f6e   lex_6279   lex_41526f736554686f726e >) ⇐ {< lex_2b   lex_7c   lex_74616c6b   lex_5d   lex_5d   lex_29   lex_746f   lex_6c617374   lex_76657273696f6e   lex_6279   lex_41526f736554686f726e > ( lex_746f   member of  < lex_7c   lex_74616c6b   lex_5d   lex_5d   lex_29   lex_746f   lex_6c617374   lex_76657273696f6e   lex_6279   lex_41526f736554686f726e >)}
( lex_29   member of  < lex_2b   lex_7c   lex_74616c6b   lex_5d   lex_5d   lex_29   lex_746f   lex_6c617374   lex_76657273696f6e   lex_6279   lex_41526f736554686f726e >) ⇐ {< lex_2b   lex_7c   lex_74616c6b   lex_5d   lex_5d   lex_29   lex_746f   lex_6c617374   lex_76657273696f6e   lex_6279   lex_41526f736554686f726e > ( lex_29   member of  < lex_7c   lex_74616c6b   lex_5d   lex_5d   lex_29   lex_746f   lex_6c617374   lex_76657273696f6e   lex_6279   lex_41526f736554686f726e >)}
( lex_6c617374   member of  < lex_2b   lex_7c   lex_74616c6b   lex_5d   lex_5d   lex_29   lex_746f   lex_6c617374   lex_76657273696f6e   lex_6279   lex_41526f736554686f726e >) ⇐ {< lex_2b   lex_7c   lex_74616c6b   lex_5d   lex_5d   lex_29   lex_746f   lex_6c617374   lex_76657273696f6e   lex_6279   lex_41526f736554686f726e > ( lex_6c617374   member of  < lex_7c   lex_74616c6b   lex_5d   lex_5d   lex_29   lex_746f   lex_6c617374   lex_76657273696f6e   lex_6279   lex_41526f736554686f726e >)}
( lex_5d   member of  < lex_2b   lex_7c   lex_74616c6b   lex_5d   lex_5d   lex_29   lex_746f   lex_6c617374   lex_76657273696f6e   lex_6279   lex_41526f736554686f726e >) ⇐ {< lex_2b   lex_7c   lex_74616c6b   lex_5d   lex_5d   lex_29   lex_746f   lex_6c617374   lex_76657273696f6e   lex_6279   lex_41526f736554686f726e > ( lex_5d   member of  < lex_7c   lex_74616c6b   lex_5d   lex_5d   lex_29   lex_746f   lex_6c617374   lex_76657273696f6e   lex_6279   lex_41526f736554686f726e >)}
( lex_5d   member of  < lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >) ⇐ {< lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 > ( lex_5d   member of  < lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >)}
( lex_4465746563746f72   member of  < lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >) ⇐ {< lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 > ( lex_4465746563746f72   member of  < lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >)}
( lex_7c   member of  < lex_74616c6b   lex_3a   lex_56656e747572653138   lex_2b   lex_7c   lex_74616c6b   lex_5d   lex_5d   lex_29   lex_746f   lex_6c617374   lex_76657273696f6e   lex_6279   lex_41526f736554686f726e >) ⇐ {< lex_74616c6b   lex_3a   lex_56656e747572653138   lex_2b   lex_7c   lex_74616c6b   lex_5d   lex_5d   lex_29   lex_746f   lex_6c617374   lex_76657273696f6e   lex_6279   lex_41526f736554686f726e > ( lex_7c   member of  < lex_3a   lex_56656e747572653138   lex_2b   lex_7c   lex_74616c6b   lex_5d   lex_5d   lex_29   lex_746f   lex_6c617374   lex_76657273696f6e   lex_6279   lex_41526f736554686f726e >)}
( lex_7c   member of  < lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >) ⇐ {< lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 > ( lex_7c   member of  < lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >)}
( lex_5265706f7274   member of  < lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >) ⇐ {< lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 > ( lex_5265706f7274   member of  < lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >)}
( lex_5d   member of  < lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >) ⇐ {< lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 > ( lex_5d   member of  < lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >)}
( lex_62756773   member of  < lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >) ⇐ {< lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 > ( lex_62756773   member of  < lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >)}
( lex_2e   member of  < lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >) ⇐ {< lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 > ( lex_2e   member of  < lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >)}
( lex_77696b697065646961   member of  < lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >) ⇐ {< lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 > ( lex_77696b697065646961   member of  < lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >)}
( lex_6465746563746f72   member of  < lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >) ⇐ {< lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 > ( lex_6465746563746f72   member of  < lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >)}
( lex_616c7465726e617469766573   member of  < lex_61726368697665   lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >) ⇐ {< lex_61726368697665   lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 > ( lex_616c7465726e617469766573   member of  < lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >)}
( lex_4d616368696e65   member of  < lex_61726368697665   lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >) ⇐ {< lex_61726368697665   lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 > ( lex_4d616368696e65   member of  < lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >)}
( lex_6c696e6b73   member of  < lex_61726368697665   lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >) ⇐ {< lex_61726368697665   lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 > ( lex_6c696e6b73   member of  < lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >)}
( lex_77697468   member of  < lex_61726368697665   lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >) ⇐ {< lex_61726368697665   lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 > ( lex_77697468   member of  < lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >)}
( lex_706572   member of  < lex_61726368697665   lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >) ⇐ {< lex_61726368697665   lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 > ( lex_706572   member of  < lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >)}
( lex_5761796261636b   member of  < lex_61726368697665   lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >) ⇐ {< lex_61726368697665   lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 > ( lex_5761796261636b   member of  < lex_2e   lex_746f646179   lex_6c696e6b73   lex_77697468   lex_5761796261636b   lex_4d616368696e65   lex_616c7465726e617469766573   lex_706572   lex_5b   lex_5b   lex_5750   lex_3a   lex_41544f444159   lex_5d   lex_5d   lex_28   lex_766961   lex_5b   lex_6874747073   lex_3a   lex_2f   lex_2f   lex_676974687562   lex_2e   lex_636f6d   lex_2f   lex_6e657468616875737361696e   lex_2f   lex_77696b697065646961   lex_2d   lex_61726368697665   lex_2d   lex_746f646179   lex_2d   lex_6465746563746f72   lex_4154   lex_4465746563746f72   lex_5d   lex_29 >)}
( lex_746f6f6c   member of  < lex_3a   lex_554342   lex_7c   lex_557365   lex_74686973   lex_746f6f6c   lex_5d   lex_5d   lex_2e   lex_5b   lex_5b   lex_3a   lex_656e   lex_3a   lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >) ⇐ {< lex_3a   lex_554342   lex_7c   lex_557365   lex_74686973   lex_746f6f6c   lex_5d   lex_5d   lex_2e   lex_5b   lex_5b   lex_3a   lex_656e   lex_3a   lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 > ( lex_746f6f6c   member of  < lex_554342   lex_7c   lex_557365   lex_74686973   lex_746f6f6c   lex_5d   lex_5d   lex_2e   lex_5b   lex_5b   lex_3a   lex_656e   lex_3a   lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >)}
( lex_5d   member of  < lex_3a   lex_554342   lex_7c   lex_557365   lex_74686973   lex_746f6f6c   lex_5d   lex_5d   lex_2e   lex_5b   lex_5b   lex_3a   lex_656e   lex_3a   lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >) ⇐ {< lex_3a   lex_554342   lex_7c   lex_557365   lex_74686973   lex_746f6f6c   lex_5d   lex_5d   lex_2e   lex_5b   lex_5b   lex_3a   lex_656e   lex_3a   lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 > ( lex_5d   member of  < lex_554342   lex_7c   lex_557365   lex_74686973   lex_746f6f6c   lex_5d   lex_5d   lex_2e   lex_5b   lex_5b   lex_3a   lex_656e   lex_3a   lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >)}
( lex_74686973   member of  < lex_656e   lex_3a   lex_5750   lex_3a   lex_554342   lex_7c   lex_557365   lex_74686973   lex_746f6f6c   lex_5d   lex_5d   lex_2e   lex_5b   lex_5b   lex_3a   lex_656e   lex_3a   lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >) ⇐ {< lex_656e   lex_3a   lex_5750   lex_3a   lex_554342   lex_7c   lex_557365   lex_74686973   lex_746f6f6c   lex_5d   lex_5d   lex_2e   lex_5b   lex_5b   lex_3a   lex_656e   lex_3a   lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 > ( lex_74686973   member of  < lex_3a   lex_5750   lex_3a   lex_554342   lex_7c   lex_557365   lex_74686973   lex_746f6f6c   lex_5d   lex_5d   lex_2e   lex_5b   lex_5b   lex_3a   lex_656e   lex_3a   lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >)}
( lex_557365   member of  < lex_656e   lex_3a   lex_5750   lex_3a   lex_554342   lex_7c   lex_557365   lex_74686973   lex_746f6f6c   lex_5d   lex_5d   lex_2e   lex_5b   lex_5b   lex_3a   lex_656e   lex_3a   lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >) ⇐ {< lex_656e   lex_3a   lex_5750   lex_3a   lex_554342   lex_7c   lex_557365   lex_74686973   lex_746f6f6c   lex_5d   lex_5d   lex_2e   lex_5b   lex_5b   lex_3a   lex_656e   lex_3a   lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 > ( lex_557365   member of  < lex_3a   lex_5750   lex_3a   lex_554342   lex_7c   lex_557365   lex_74686973   lex_746f6f6c   lex_5d   lex_5d   lex_2e   lex_5b   lex_5b   lex_3a   lex_656e   lex_3a   lex_5750   lex_3a   lex_44425547   lex_7c   lex_5265706f7274   lex_62756773   lex_5d   lex_5d   lex_2e   lex_7c   lex_23   lex_5543425f476164676574 >)}
